pH_Class,Potability,Hardness,Sulfate,Conductivity,Organic_carbon,Chloramines,Solids,Trihalomethanes,hardness_solids,hardness_chloramines,sulfate_organic_carbon,conductivity_organic_carbon,conductivity_trihalomethanes
5,0,0.5711390082822001,0.6803852067559715,0.6694394775245862,0.3134016505013297,0.5438913403667128,0.3360964634654397,0.6997531312286739,0.9072354717476399,1.1150303486489128,0.9937868572573012,0.9828411280259159,1.3691926087532602
2,0,0.29740043423437834,,0.7194110818538586,0.4973185102052591,0.4918392081300977,0.3006114187901571,0.45099930460740245,0.5980118530245355,0.7892396423644761,,1.2167295920591177,1.1704103864612612
5,0,0.6413108084150347,,0.41465206426707074,0.5620167405958227,0.6985427477647035,0.32161884911088157,0.5328657048544051,0.9629296575259163,1.3398535561797382,,0.9766688048628935,0.9475177691214758
5,0,0.6055358664220307,0.6473474415473475,0.3178804651334762,0.6220890611300116,0.6033136890362848,0.3562437946769182,0.8080647268832251,0.9617796610989489,1.2088495554583156,1.269436502677359,0.9399695262634877,1.1259451920167012
5,0,0.48485088154942924,0.514545371214461,0.3793367078068793,0.35855476794813795,0.48490019367576814,0.28992168690324754,0.25360608076637353,0.7747725684526767,0.9697510752251974,0.873100139162599,0.7378914757550172,0.6329427885732528
3,0,0.5110098362288946,0.5615373753170179,0.1730919426231725,0.23753772567635112,0.5630425666363716,0.4667459175782172,0.43955040354687147,0.9777557538071118,1.0740524028652663,0.799075100993369,0.41062966829952363,0.612642346170044
5,0,0.7277677091469463,0.7518191989805305,0.17865925610910732,0.44404962902375056,0.56057991904746,0.4667628091849858,0.6803845156984599,1.1945305183319321,1.2883476281944062,1.195868828004281,0.6227088851328579,0.8590437718075672
5,0,0.5655932075815421,0.49515510927530315,0.5125808282494884,0.3894182643182089,0.32962885992952656,0.2192081832012367,0.5034828979160257,0.7848013907827788,0.8952220675110687,0.8845733735935121,0.9019990925676973,1.016063726165514
5,0,0.2595526133883169,0.39668973084688186,0.3635369221350641,0.4025306118259737,0.583340395543882,0.22928091064893688,0.43152671356551286,0.4888335240372538,0.8428930089321989,0.7992203426728556,0.7660675339610379,0.7950636357005769
5,0,0.6521751419626776,0.7813002665972877,0.6686994825422143,0.6025979467925294,0.6829902165882105,0.4131524182898638,0.5779445492708146,1.0653275602525414,1.335165358550888,1.3838982133898172,1.2712974293347439,1.246644031813029
4,0,0.4283359591846285,0.5613839527180129,0.42650325140240203,0.5129046144840278,0.5634990925013004,0.5275594870156438,0.6328147820439778,0.9558954462002723,0.9918350516859289,1.0742885672020406,0.9394078658864298,1.0593180334463799
4,0,0.6212051872693674,,0.31933486996633903,0.47225079301123407,0.6073099413795595,0.3028706092044403,0.6145276823323617,0.9240757964738077,1.2285151286489269,,0.791585662977573,0.9338625522987007
4,0,0.3963589561553913,0.43559858729760415,0.29068583751025473,0.5260358585756973,0.2547190677499584,0.30226569548185506,0.6389866977411888,0.6986246516372463,0.6510780239053497,0.9616344458733015,0.816721696085952,0.9296725352514434
5,0,0.3726728501194674,0.48409360114375266,0.34672555201517735,0.6578853326142575,0.507727864633073,0.44347530580879824,0.6147230738423707,0.8161481559282656,0.8804007147525403,1.1419789337580102,1.0046108846294348,0.9614486258575481
4,0,0.5727876839305645,,0.4601862700577369,0.42254065514270234,0.36951528562353264,0.4608239829295454,0.5643443449475456,1.0336116668601099,0.9423029695540971,,0.8827269252004393,1.0245306150052824
4,0,0.5052771957857902,0.6689408788512972,0.5862627093705883,0.3578460226643458,0.726230628295936,0.6689673043597196,0.6030537983047312,1.1742445001455097,1.231507824081726,1.026786901515643,0.9441087320349342,1.1893165076753194
4,0,0.5934789767586498,,0.2337246500938564,0.6972039019433891,0.7626454803648864,0.5033909732708612,0.4536159058736132,1.096869950029511,1.3561244571235362,,0.9309285520372454,0.6873405559674697
5,0,0.8211402821257089,0.7651337254560617,0.518468639250468,0.4286337463687949,0.5129541860250564,0.3894572781285912,0.5737320683824016,1.2105975602543002,1.3340944681507652,1.1937674718248568,0.947102385619263,1.0922007076328697
5,0,0.8412473585381238,,0.4371012693047516,0.4095309982491951,0.4581073079367884,0.3142445061491364,0.5117817096644868,1.1554918646872603,1.2993546664749123,,0.8466322675539467,0.9488829789692383
4,0,0.6059828013041964,0.5873194368584175,0.5043740944804687,0.3949871241570383,0.31942616754380604,0.4155464507229997,0.5034745270453284,1.0215292520271961,0.9254089688480024,0.9823065610154558,0.899361218637507,1.0078486215257971
5,0,0.6529135714897639,,0.6528469784257211,0.5414441870764161,0.7813634354770003,0.3609584168536767,0.36219447338085486,1.0138719883434406,1.4342770069667643,,1.194291165502137,1.015041451806576
4,0,0.4383578299570474,0.5168040404838903,0.5983776139814379,0.6009285514545903,0.4310582489665425,0.5027960065223681,0.6190417002133691,0.9411538364794155,0.8694160789235899,1.1177325919384806,1.1993061654360282,1.217419314194807
5,0,0.611355638495378,0.5622918972258308,0.44551628963931816,0.45935104238021873,0.4113550256819666,0.27560850780447177,0.4796082801362454,0.8869641462998498,1.0227106641773447,1.0216429396060496,0.9048673320195368,0.9251245697755636
2,0,0.5421675155910248,,0.45989516706741823,0.5520702358540198,0.520102668203426,0.3422728591102874,0.725638687387396,0.8844403747013122,1.0622701837944508,,1.011965402921438,1.1855338544548142
3,0,0.3384467530836571,0.5663093399846553,0.5095493605720893,0.3469877841727771,0.7596753412159291,0.2782251388925495,0.45588994536642435,0.6166718919762066,1.0981220942995862,0.9132971241574324,0.8565371447448664,0.9654393059385137
4,0,0.548929063082919,0.552782416142575,0.40535647877217956,0.48659002171252785,0.651188799993199,0.3431135408033173,0.6418023625588224,0.8920426038862364,1.200117863076118,1.0393724378551028,0.8919465004847074,1.047158841331002
2,0,0.5821505890196079,0.7243886615417425,0.45518595121874855,0.4446705828073101,0.6598941276535016,0.543520972333468,0.23970564487029825,1.125671561353076,1.2420447166731097,1.1690592443490526,0.8998565340260587,0.6948915960890468
5,0,0.35668855317590853,0.4971214768437613,0.20548236564805628,0.40343006592115943,0.5913459663879558,0.21186647196488556,0.39589531893058577,0.568555025140794,0.9480345195638643,0.9005515427649207,0.6089124315692157,0.601377684578642
5,0,0.7943248917927158,0.756722450627723,0.3200026505406705,0.3122203355340163,0.575190878256683,0.4275755107037674,0.424059169524431,1.2219004024964832,1.3695157700493987,1.0689427861617393,0.6322229860746869,0.7440618200651015
5,0,0.36533907928081566,0.5056713002495713,0.6685582970839319,0.5505232018389823,0.6806131277696461,0.2441862704292152,0.421364127096833,0.6095253497100308,1.0459522070504619,1.0561945020885535,1.2190814989229142,1.0899224241807648
4,0,0.5883144978319663,0.594654004282743,0.2808866697188545,0.21925664111197807,0.4416969586262208,0.2442325138502034,0.5743858874251074,0.8325470116821697,1.0300114564581873,0.813910645394721,0.5001433108308326,0.8552725571439619
5,0,0.5198722425279091,,0.47450952888545866,0.563181524904843,0.5014121903259444,0.3178154750101536,0.37597938688142046,0.8376877175380627,1.0212844328538535,,1.0376910537903017,0.8504889157668791
5,0,0.2552095438039441,0.5076475940878047,0.40482555004748794,0.40960569212688835,0.611311531172472,0.36130853906261373,0.5272953415438887,0.6165180828665578,0.8665210749764161,0.917253286214693,0.8144312421743762,0.9321208915913766
4,0,0.6805149749988069,0.7333887606662999,0.40307079955968245,0.3082304623892646,0.508332839439914,0.5292545203196599,0.35494554081761065,1.2097694953184668,1.188847814438721,1.0416192230555645,0.711301261948947,0.758016340377293
5,0,0.6704889950507527,,0.35410479968104264,0.38187498640044804,0.4010109457325342,0.23751688614670072,0.6923685116616712,0.9080058811974534,1.0714999407832868,,0.7359797860814907,1.0464733113427138
3,0,0.5242108692847773,0.5534642741249528,0.45512038198247845,0.33588069551545807,0.446865987866092,0.31687391098771095,0.3934726949322231,0.8410847802724883,0.9710768571508693,0.8893449696404109,0.7910010774979366,0.8485930769147015
2,0,0.4950333062324148,0.4461530820738886,0.481545987190201,0.26184163803499366,0.40597370907877595,0.4011267888940604,0.5910715123611203,0.8961600951264752,0.9010070153111908,0.7079947201088823,0.7433876252251946,1.0726174995513214
3,0,0.9314884440328942,,0.38119162859784456,0.3856322443491802,0.4500261060745142,0.2784776867941322,0.6559279620361429,1.2099661308270264,1.3815145501074084,,0.7668238729470247,1.0371195906339874
5,0,0.34829349894782347,,0.4295586416248894,0.7766242141132929,0.433562002591477,0.32215625675077353,0.42499792489947275,0.670449755698597,0.7818555015393005,,1.2061828557381822,0.8545565665243622
5,0,0.5483742535840576,0.5655119449187728,0.3766544650084053,0.5468187491630324,0.45077200950240237,0.40000459059890553,0.2405065192406582,0.948378844182963,0.9991462630864599,1.1123306940818052,0.9234732141714377,0.6171609842490635
5,0,0.676214745771413,0.5114308208325332,0.293631678471682,0.6183483735557861,0.33247655134416637,0.1868934741672889,0.34024650973308374,0.8631082199387019,1.0086912971155795,1.1297791943883193,0.9119800520274681,0.6338781882047657
3,0,0.5348071958772819,0.5331216640653491,0.26866182147640455,0.305766812361364,0.5981862671135275,0.26824723211171564,0.47731428754382427,0.8030544279889975,1.1329934629908094,0.838888476426713,0.5744286338377685,0.7459761090202288
4,0,0.6937376801345707,0.7299809153074173,0.2632624261139131,0.34073422978745826,0.5058339492140171,0.46726561286107393,0.5305775076430708,1.1610032929956446,1.1995716293485879,1.0707151450948755,0.6039966559013714,0.7938399337569839
5,0,0.5636198475161645,0.591853390218604,0.2652904852676912,0.8320920023476996,0.5111740357558905,0.1584893325337715,0.5767846048235953,0.722109180049936,1.074793883272055,1.4239453925663037,1.0973824876153908,0.8420750900912866
3,0,0.4930047085370547,,0.38901279252021465,0.6309666458820401,0.34280618274866376,0.34885557693824965,0.5368596975086074,0.8418602854753043,0.8358108912857185,,1.0199794384022547,0.925872490028822
3,0,0.6145208198736822,,0.5650948615034854,0.5341298857930266,0.5348220030660508,0.5793411283380199,0.6230483321526754,1.193861948211702,1.149342822939733,,1.099224747296512,1.1881431936561608
4,0,0.5883605363195907,0.53008622538656,0.3666998515283704,0.4247254373979297,0.3217774752358498,0.16836109755217255,0.70299759033249,0.7567216338717633,0.9101380115554405,0.9548116627844897,0.7914252889263,1.0696974418608605
5,0,0.45682681525079005,0.5066393783155295,0.24887986849480265,0.30233217439347915,0.40851534836747216,0.2534681933171983,0.6306467885792422,0.7102950085679883,0.8653421636182622,0.8089715527090087,0.5512120428882819,0.8795266570740448
5,0,0.29909671787964043,0.49863620701888367,0.5050991283794313,0.6283298821387459,0.4673134239030244,0.5597932664266104,0.5814089814288341,0.8588899843062509,0.7664101417826648,1.1269660891576296,1.133429010518177,1.0865081098082654
5,0,0.5540944258159731,0.536552441175429,0.3903656279728354,0.44323077802380606,0.3571899064221671,0.3483268284141718,0.3828663487296183,0.9024212542301449,0.9112843322381402,0.9797832191992351,0.8335964059966414,0.7732319767024537
5,0,0.4387375432522356,0.4852432072158608,0.3537783152184039,0.5357113599108954,0.5240097688999148,0.4461178151684277,0.6083905330914197,0.8848553584206633,0.9627473121521504,1.0209545671267561,0.8894896751292993,0.9621688483098236
4,0,0.19233643011615534,0.33576857194408327,0.740980678755693,0.28395972183951124,0.3804551547604971,0.19197713478422623,0.5301404620818534,0.3843135649003816,0.5727915848766525,0.6197282937835945,1.024940400595204,1.2711211408375465
4,0,0.3539390766474305,0.45181348616407613,0.6373797132828172,0.33494345808475623,0.36078797496606657,0.3209989901985167,0.5759229451131298,0.6749380668459473,0.7147270516134971,0.7867569442488324,0.9723231713675734,1.213302658395947
5,0,0.5958901302092237,0.5986749261946378,0.6054381192130032,0.6159123413516341,0.5384575161907944,0.19045118649590548,0.3804650657491484,0.7863413167051292,1.134347646400018,1.2145872675462719,1.2213504605646373,0.9859031849621516
