pH_Class,Potability,Hardness,Sulfate,Conductivity,Organic_carbon,hardness_solids,hardness_chloramines,sulfate_organic_carbon,conductivity_organic_carbon,conductivity_trihalomethanes
5,0,0.5711390082822001,0.6803852067559715,0.6694394775245862,0.3134016505013297,0.90723547174764,1.1150303486489128,0.9937868572573012,0.982841128025916,1.3691926087532602
2,0,0.2974004342343783,,0.7194110818538586,0.4973185102052591,0.5980118530245355,0.7892396423644761,,1.2167295920591177,1.1704103864612612
5,0,0.6413108084150347,,0.4146520642670707,0.5620167405958227,0.9629296575259164,1.3398535561797382,,0.9766688048628936,0.9475177691214758
5,0,0.6055358664220307,0.6473474415473475,0.3178804651334762,0.6220890611300116,0.9617796610989487,1.2088495554583156,1.269436502677359,0.9399695262634876,1.1259451920167012
5,0,0.4848508815494292,0.514545371214461,0.3793367078068793,0.3585547679481379,0.7747725684526767,0.9697510752251974,0.873100139162599,0.7378914757550172,0.6329427885732528
3,0,0.5110098362288946,0.5615373753170179,0.1730919426231725,0.2375377256763511,0.9777557538071118,1.0740524028652665,0.799075100993369,0.4106296682995236,0.612642346170044
5,0,0.7277677091469463,0.7518191989805305,0.1786592561091073,0.4440496290237505,1.194530518331932,1.2883476281944062,1.195868828004281,0.6227088851328579,0.8590437718075672
5,0,0.5655932075815421,0.4951551092753031,0.5125808282494884,0.3894182643182089,0.7848013907827788,0.8952220675110687,0.8845733735935121,0.9019990925676972,1.016063726165514
5,0,0.2595526133883169,0.3966897308468818,0.3635369221350641,0.4025306118259737,0.4888335240372538,0.8428930089321989,0.7992203426728556,0.7660675339610379,0.7950636357005769
5,0,0.6521751419626777,0.7813002665972877,0.6686994825422143,0.6025979467925294,1.0653275602525416,1.335165358550888,1.3838982133898172,1.271297429334744,1.246644031813029
4,0,0.4283359591846285,0.5613839527180129,0.426503251402402,0.5129046144840278,0.9558954462002724,0.9918350516859288,1.0742885672020406,0.9394078658864298,1.05931803344638
4,0,0.6212051872693674,,0.319334869966339,0.472250793011234,0.9240757964738076,1.2285151286489269,,0.791585662977573,0.9338625522987009
4,0,0.3963589561553913,0.4355985872976041,0.2906858375102547,0.5260358585756973,0.6986246516372463,0.6510780239053497,0.9616344458733016,0.816721696085952,0.9296725352514434
5,0,0.3726728501194674,0.4840936011437526,0.3467255520151773,0.6578853326142575,0.8161481559282656,0.8804007147525403,1.1419789337580102,1.0046108846294348,0.961448625857548
4,0,0.5727876839305645,,0.4601862700577369,0.4225406551427023,1.03361166686011,0.9423029695540972,,0.8827269252004393,1.0245306150052824
4,0,0.5052771957857902,0.6689408788512972,0.5862627093705883,0.3578460226643458,1.1742445001455095,1.231507824081726,1.026786901515643,0.9441087320349342,1.1893165076753194
4,0,0.5934789767586499,,0.2337246500938564,0.6972039019433891,1.0968699500295112,1.3561244571235362,,0.9309285520372454,0.6873405559674697
5,0,0.8211402821257089,0.7651337254560617,0.518468639250468,0.4286337463687949,1.2105975602543002,1.3340944681507652,1.1937674718248568,0.947102385619263,1.0922007076328697
5,0,0.8412473585381238,,0.4371012693047516,0.4095309982491951,1.1554918646872605,1.2993546664749125,,0.8466322675539467,0.9488829789692385
4,0,0.6059828013041965,0.5873194368584175,0.5043740944804687,0.3949871241570383,1.021529252027196,0.9254089688480024,0.9823065610154558,0.899361218637507,1.0078486215257971
5,0,0.6529135714897639,,0.6528469784257211,0.5414441870764161,1.0138719883434406,1.4342770069667643,,1.194291165502137,1.015041451806576
4,0,0.4383578299570474,0.5168040404838903,0.5983776139814379,0.6009285514545903,0.9411538364794156,0.8694160789235899,1.1177325919384806,1.1993061654360282,1.217419314194807
5,0,0.611355638495378,0.5622918972258308,0.4455162896393181,0.4593510423802187,0.8869641462998498,1.022710664177345,1.0216429396060496,0.9048673320195368,0.9251245697755636
2,0,0.5421675155910248,,0.4598951670674182,0.5520702358540198,0.8844403747013122,1.0622701837944508,,1.011965402921438,1.1855338544548142
3,0,0.3384467530836571,0.5663093399846553,0.5095493605720893,0.3469877841727771,0.6166718919762066,1.0981220942995862,0.9132971241574324,0.8565371447448664,0.9654393059385136
4,0,0.548929063082919,0.552782416142575,0.4053564787721795,0.4865900217125278,0.8920426038862364,1.200117863076118,1.0393724378551028,0.8919465004847074,1.047158841331002
2,0,0.5821505890196079,0.7243886615417425,0.4551859512187485,0.4446705828073101,1.125671561353076,1.2420447166731097,1.1690592443490526,0.8998565340260587,0.6948915960890468
5,0,0.3566885531759085,0.4971214768437613,0.2054823656480562,0.4034300659211594,0.568555025140794,0.9480345195638644,0.9005515427649207,0.6089124315692157,0.601377684578642
5,0,0.7943248917927158,0.756722450627723,0.3200026505406705,0.3122203355340163,1.2219004024964832,1.3695157700493987,1.068942786161739,0.6322229860746869,0.7440618200651015
5,0,0.3653390792808156,0.5056713002495713,0.6685582970839319,0.5505232018389823,0.6095253497100308,1.045952207050462,1.0561945020885537,1.2190814989229142,1.0899224241807648
4,0,0.5883144978319663,0.594654004282743,0.2808866697188545,0.219256641111978,0.8325470116821697,1.0300114564581873,0.813910645394721,0.5001433108308326,0.8552725571439619
5,0,0.5198722425279091,,0.4745095288854586,0.563181524904843,0.8376877175380627,1.0212844328538535,,1.0376910537903017,0.8504889157668791
5,0,0.2552095438039441,0.5076475940878047,0.4048255500474879,0.4096056921268883,0.6165180828665578,0.8665210749764161,0.917253286214693,0.8144312421743762,0.9321208915913766
4,0,0.6805149749988069,0.7333887606662999,0.4030707995596824,0.3082304623892646,1.2097694953184668,1.188847814438721,1.0416192230555643,0.711301261948947,0.758016340377293
5,0,0.6704889950507527,,0.3541047996810426,0.381874986400448,0.9080058811974534,1.0714999407832868,,0.7359797860814907,1.0464733113427138
3,0,0.5242108692847773,0.5534642741249528,0.4551203819824784,0.335880695515458,0.8410847802724883,0.9710768571508692,0.8893449696404109,0.7910010774979366,0.8485930769147015
2,0,0.4950333062324148,0.4461530820738886,0.481545987190201,0.2618416380349936,0.8961600951264752,0.9010070153111908,0.7079947201088823,0.7433876252251946,1.0726174995513214
3,0,0.9314884440328942,,0.3811916285978445,0.3856322443491802,1.2099661308270264,1.3815145501074084,,0.7668238729470247,1.0371195906339874
5,0,0.3482934989478234,,0.4295586416248894,0.7766242141132929,0.670449755698597,0.7818555015393005,,1.2061828557381822,0.8545565665243622
5,0,0.5483742535840576,0.5655119449187728,0.3766544650084053,0.5468187491630324,0.948378844182963,0.99914626308646,1.1123306940818052,0.9234732141714376,0.6171609842490635
5,0,0.676214745771413,0.5114308208325332,0.293631678471682,0.6183483735557861,0.8631082199387019,1.0086912971155797,1.1297791943883193,0.911980052027468,0.6338781882047657
3,0,0.5348071958772819,0.5331216640653491,0.2686618214764045,0.305766812361364,0.8030544279889975,1.1329934629908094,0.838888476426713,0.5744286338377685,0.7459761090202288
4,0,0.6937376801345707,0.7299809153074173,0.2632624261139131,0.3407342297874582,1.1610032929956446,1.199571629348588,1.0707151450948755,0.6039966559013714,0.7938399337569839
5,0,0.5636198475161645,0.591853390218604,0.2652904852676912,0.8320920023476996,0.722109180049936,1.074793883272055,1.4239453925663037,1.0973824876153908,0.8420750900912866
3,0,0.4930047085370547,,0.3890127925202146,0.6309666458820401,0.8418602854753043,0.8358108912857185,,1.0199794384022547,0.925872490028822
3,0,0.6145208198736822,,0.5650948615034854,0.5341298857930266,1.193861948211702,1.149342822939733,,1.099224747296512,1.1881431936561608
4,0,0.5883605363195907,0.53008622538656,0.3666998515283704,0.4247254373979297,0.7567216338717633,0.9101380115554404,0.9548116627844896,0.7914252889263,1.0696974418608605
5,0,0.45682681525079,0.5066393783155295,0.2488798684948026,0.3023321743934791,0.7102950085679883,0.8653421636182622,0.8089715527090087,0.5512120428882819,0.8795266570740448
5,0,0.2990967178796404,0.4986362070188836,0.5050991283794313,0.6283298821387459,0.8588899843062509,0.7664101417826648,1.1269660891576296,1.133429010518177,1.0865081098082654
5,0,0.5540944258159731,0.536552441175429,0.3903656279728354,0.443230778023806,0.9024212542301449,0.9112843322381402,0.9797832191992352,0.8335964059966414,0.7732319767024537
5,0,0.4387375432522356,0.4852432072158608,0.3537783152184039,0.5357113599108954,0.8848553584206633,0.9627473121521504,1.020954567126756,0.8894896751292993,0.9621688483098236
4,0,0.1923364301161553,0.3357685719440832,0.740980678755693,0.2839597218395112,0.3843135649003816,0.5727915848766525,0.6197282937835945,1.024940400595204,1.2711211408375465
4,0,0.3539390766474305,0.4518134861640761,0.6373797132828172,0.3349434580847562,0.6749380668459473,0.7147270516134971,0.7867569442488324,0.9723231713675734,1.213302658395947
5,0,0.5958901302092237,0.5986749261946378,0.6054381192130032,0.6159123413516341,0.7863413167051292,1.134347646400018,1.214587267546272,1.2213504605646373,0.9859031849621516
5,0,0.4877231314711837,0.6004885738651841,0.481014922906721,0.5472350715311843,0.8401123727267343,1.0074303718812136,1.1477236453963684,1.028249994437905,0.752907712885403
4,0,0.7713686743662201,,0.390283401690944,0.5262254356784322,1.2687834856235358,1.4779936090439203,,0.9165088373693762,0.9247792442471778
5,0,0.6924506784945145,0.7176912816932655,0.5243165171583912,0.1462197934586672,1.1597049555639312,1.3132576033093564,0.8639110751519328,0.6705363106170585,0.8354681402235156
3,0,0.5181690079848537,0.5564658705817396,0.3914370162261781,0.231285728088326,0.9122652124507064,1.0565771588155413,0.7877515986700656,0.6227227443145043,1.192084295341275
5,0,0.4003351332436348,0.485878823390705,0.3139100419873855,0.4070444808188041,0.6735859321745128,1.0252759199267434,0.892923304209509,0.7209545228061897,0.8897485412614643
5,0,0.3903766769653611,,0.1900770201689802,0.5525768269690458,0.7226298807334559,1.0037088922037425,,0.742653847138026,0.6677916237135273
2,0,0.6745601432485375,0.6231260062392577,0.1538234388543195,0.2855986820026209,1.1970657243290714,1.1945475888301498,0.9087246882418788,0.4394221208569405,0.6649709444940499
4,0,0.6006189141607131,0.5642990088034244,0.3284977784552303,0.4428392785725579,0.9395748430897884,0.9938525651959136,1.0071382873759824,0.7713370570277882,0.4678572125807581
5,0,0.660351746437548,0.7270497172400852,0.2009478215270698,0.5642564053565858,1.241716518078992,1.3224921022118254,1.291306122596671,0.7652042268836556,
5,0,0.5357853647695795,,0.3792223520064092,0.3900678464656071,0.9353387063578754,1.1526073090652575,,0.7692901984720164,0.7662250362525423
