ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,Potability_Class,pH_Class
,0.5711390082822001,0.3360964634654397,0.5438913403667128,0.6803852067559715,0.6694394775245862,0.3134016505013297,0.6997531312286739,2.9631353806316407,0,Not potable,5
3.71608007538699,0.29740043423437834,0.3006114187901571,0.4918392081300977,,0.7194110818538586,0.4973185102052591,0.45099930460740245,4.500656274942408,0,Not potable,2
8.099124189298397,0.6413108084150347,0.32161884911088157,0.6985427477647035,,0.41465206426707074,0.5620167405958227,0.5328657048544051,3.0559337496641685,0,Not potable,5
8.316765884214679,0.6055358664220307,0.3562437946769182,0.6033136890362848,0.6473474415473475,0.3178804651334762,0.6220890611300116,0.8080647268832251,4.628770536837084,0,Not potable,5
9.092223456290965,0.48485088154942924,0.28992168690324754,0.48490019367576814,0.514545371214461,0.3793367078068793,0.35855476794813795,0.25360608076637353,4.075075425430034,0,Not potable,5
5.584086638456089,0.5110098362288946,0.4667459175782172,0.5630425666363716,0.5615373753170179,0.1730919426231725,0.23753772567635112,0.43955040354687147,2.5597082275565217,0,Not potable,3
10.223862164528772,0.7277677091469463,0.4667628091849858,0.56057991904746,0.7518191989805305,0.17865925610910732,0.44404962902375056,0.6803845156984599,2.672988736934779,0,Not potable,5
8.635848718500734,0.5655932075815421,0.2192081832012367,0.32962885992952656,0.49515510927530315,0.5125808282494884,0.3894182643182089,0.5034828979160257,4.401424715445482,0,Not potable,5
,0.2595526133883169,0.22928091064893688,0.583340395543882,0.39668973084688186,0.3635369221350641,0.4025306118259737,0.43152671356551286,3.5950171809576155,0,Not potable,5
11.180284470721592,0.6521751419626776,0.4131524182898638,0.6829902165882105,0.7813002665972877,0.6686994825422143,0.6025979467925294,0.5779445492708146,4.370561936655497,0,Not potable,5
7.360640105838258,0.4283359591846285,0.5275594870156438,0.5634990925013004,0.5613839527180129,0.42650325140240203,0.5129046144840278,0.6328147820439778,3.662291782852457,0,Not potable,4
7.974521648923869,0.6212051872693674,0.3028706092044403,0.6073099413795595,,0.31933486996633903,0.47225079301123407,0.6145276823323617,4.011718108339787,0,Not potable,4
7.119824384264552,0.3963589561553913,0.30226569548185506,0.2547190677499584,0.43559858729760415,0.29068583751025473,0.5260358585756973,0.6389866977411888,3.445756223321899,0,Not potable,4
,0.3726728501194674,0.44347530580879824,0.507727864633073,0.48409360114375266,0.34672555201517735,0.6578853326142575,0.6147230738423707,4.413974182974902,0,Not potable,5
7.49623220797336,0.5727876839305645,0.4608239829295454,0.36951528562353264,,0.4601862700577369,0.42254065514270234,0.5643443449475456,4.777382337225378,0,Not potable,4
6.347271760539316,0.5052771957857902,0.6689673043597196,0.726230628295936,0.6689408788512972,0.5862627093705883,0.3578460226643458,0.6030537983047312,4.376348290691898,0,Not potable,4
7.051785800016845,0.5934789767586498,0.5033909732708612,0.7626454803648864,,0.2337246500938564,0.6972039019433891,0.4536159058736132,4.268428857506186,0,Not potable,4
9.181560007151536,0.8211402821257089,0.3894572781285912,0.5129541860250564,0.7651337254560617,0.518468639250468,0.4286337463687949,0.5737320683824016,4.503660796179122,0,Not potable,5
8.975464347533963,0.8412473585381238,0.3142445061491364,0.4581073079367884,,0.4371012693047516,0.4095309982491951,0.5117817096644868,2.4360855903052734,0,Not potable,5
